Date & Time,Latitude,Longitude,Depth,Magnitude,Lands,Country
11/21/2023 12:37,38.185,38.71,7,1.3,EASTERN,TURKEY
11/21/2023 12:36,38.163,-112.602,3,2.8,UTAH,UTAH
11/21/2023 12:35,-40.356,175.597,26,3.1,"NORTH, ISLAND, OF, NEW",ZEALAND
11/21/2023 12:33,38.151,-118.038,7,2.1,NEVADA,NEVADA
11/21/2023 12:31,42.849,75.986,5,3.7,KYRGYZSTAN,KYRGYZSTAN
11/21/2023 12:29,19.383,-155.283,1,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 12:28,19.386,-155.279,1,2,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 12:26,36.484,26.772,110,3,"DODECANESE, ISLANDS,",GREECE
11/21/2023 12:26,58.915,-138.031,8,3,SOUTHEASTERN,ALASKA
11/21/2023 12:21,37.562,37.296,12,2.2,CENTRAL,TURKEY
11/21/2023 12:19,38.252,38.601,28,1.4,EASTERN,TURKEY
11/21/2023 12:07,38.453,29.145,7,0.8,WESTERN,TURKEY
11/21/2023 12:04,12.58,-88.22,30,3,"OFFSHORE, EL",SALVADOR
11/21/2023 11:54,7.34,-80.436,4,3.6,PANAMA,PANAMA
11/21/2023 11:51,19.311,-155.353,1,2.4,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 11:33,41.712,48.826,10,3.1,"CASPIAN, SEA,, OFFSHORE",AZERBAIJAN
11/21/2023 11:14,42.939,3.032,5,2.2,PYRENEES,PYRENEES
11/21/2023 11:13,48.842,-0.518,0,2.2,FRANCE,FRANCE
11/21/2023 11:13,61.237,-147.462,30,3.1,SOUTHERN,ALASKA
11/21/2023 11:08,7,126.76,19,3.2,"MINDANAO,",PHILIPPINES
11/21/2023 11:06,38.023,37.729,8,2.1,CENTRAL,TURKEY
11/21/2023 11:05,42.812,2.949,5,2.2,PYRENEES,PYRENEES
11/21/2023 10:55,-24.3,-67.61,169,3.2,"SALTA,",ARGENTINA
11/21/2023 10:50,-2.43,139.38,55,3.2,"NEAR, N, COAST, OF, PAPUA,",INDONESIA
11/21/2023 10:47,47.685,8.318,2,1.1,GERMANY,GERMANY
11/21/2023 10:46,47.233,3.653,5,2.3,FRANCE,FRANCE
11/21/2023 10:46,16.91,-100.48,12,3.2,"OFFSHORE, GUERRERO,",MEXICO
11/21/2023 10:45,47.953,-2.328,5,2.2,FRANCE,FRANCE
11/21/2023 10:44,-30.75,-71.41,52,3,"COQUIMBO,",CHILE
11/21/2023 10:43,37.992,27.985,7,1.1,WESTERN,TURKEY
11/21/2023 10:41,1.22,98.83,52,3.5,"NORTHERN, SUMATRA,",INDONESIA
11/21/2023 10:39,16.94,-95.02,115,3.6,"OAXACA,",MEXICO
11/21/2023 10:38,12.909,-88.871,46,4,"OFFSHORE, EL",SALVADOR
11/21/2023 10:36,46.814,3.882,5,2.1,FRANCE,FRANCE
11/21/2023 10:26,47.395,-1.464,5,2.2,FRANCE,FRANCE
11/21/2023 10:22,-2.7,139.05,10,3.4,"NEAR, N, COAST, OF, PAPUA,",INDONESIA
11/21/2023 10:22,45.699,2.306,5,2,FRANCE,FRANCE
11/21/2023 10:22,-31.71,-72.11,31,3.4,"OFFSHORE, COQUIMBO,",CHILE
11/21/2023 10:21,17.55,120.01,12,3.3,"LUZON,",PHILIPPINES
11/21/2023 10:15,35.754,-121.25,7,2.5,CENTRAL,CALIFORNIA
11/21/2023 10:15,37.535,20.651,11,3,IONIAN,SEA
11/21/2023 10:12,37.63,20.754,10,3.9,IONIAN,SEA
11/21/2023 10:07,39.144,-28.634,5,3,"AZORES, ISLANDS,",PORTUGAL
11/21/2023 10:06,37.471,37.159,8,1.4,CENTRAL,TURKEY
11/21/2023 10:05,-18.949,-67.309,232,4.4,"ORURO,",BOLIVIA
11/21/2023 10:03,38.109,36.576,7,1.8,CENTRAL,TURKEY
11/21/2023 9:58,39.202,-28.684,10,2.1,"AZORES, ISLANDS,",PORTUGAL
11/21/2023 9:56,37.936,36.481,7,1.1,CENTRAL,TURKEY
11/21/2023 9:51,18.41,-103.38,60,3.3,"MICHOACAN,",MEXICO
11/21/2023 9:50,-31.348,-68.628,107,3,"SAN, JUAN,",ARGENTINA
11/21/2023 9:48,-2.31,101.12,49,2.6,"SOUTHERN, SUMATRA,",INDONESIA
11/21/2023 9:41,30.72,-114.1,14,3.7,"GULF, OF",CALIFORNIA
11/21/2023 9:39,40.576,40.866,7,0.9,EASTERN,TURKEY
11/21/2023 9:31,34.229,-116.846,4,2.2,SOUTHERN,CALIFORNIA
11/21/2023 9:30,16.16,-97.16,23,3.8,"OAXACA,",MEXICO
11/21/2023 9:25,-45.033,167.571,97,3.2,"SOUTH, ISLAND, OF, NEW",ZEALAND
11/21/2023 9:22,36.432,69.562,135,4.1,"HINDU, KUSH, REGION,",AFGHANISTAN
11/21/2023 9:22,37.969,36.669,7,1.8,CENTRAL,TURKEY
11/21/2023 9:19,14.17,-93.55,10,4.1,"OFF, COAST, OF, CHIAPAS,",MEXICO
11/21/2023 9:14,-31.72,-72.03,43,2.8,"OFFSHORE, COQUIMBO,",CHILE
11/21/2023 9:03,8.284,-82.753,11,3.1,"PANAMA-COSTA, RICA, BORDER",REGION
11/21/2023 9:02,45.586,6.82,5,2.4,FRANCE,FRANCE
11/21/2023 8:56,-44.937,167.543,115,4.4,"SOUTH, ISLAND, OF, NEW",ZEALAND
11/21/2023 8:55,40.357,39.274,15,1.5,EASTERN,TURKEY
11/21/2023 8:54,19.235,-155.511,33,2.7,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 8:49,-31.67,-72.06,45,3.4,"OFFSHORE, COQUIMBO,",CHILE
11/21/2023 8:49,17.46,-95,125,3.3,"VERACRUZ,",MEXICO
11/21/2023 8:36,29.309,-14.789,18,2.7,"CANARY, ISLANDS,, SPAIN",REGION
11/21/2023 8:34,0.34,121.86,122,3.6,"MINAHASA,, SULAWESI,",INDONESIA
11/21/2023 8:34,45.952,7.877,-1,1.1,NORTHERN,ITALY
11/21/2023 8:31,15.74,-94.47,11,3.8,"OFFSHORE, OAXACA,",MEXICO
11/21/2023 8:01,37.821,30.421,5,1.3,WESTERN,TURKEY
11/21/2023 7:54,16.19,-99.04,6,3.9,"OFFSHORE, GUERRERO,",MEXICO
11/21/2023 7:49,8.318,-82.926,16,2.8,"PANAMA-COSTA, RICA, BORDER",REGION
11/21/2023 7:46,33.15,-119.049,6,2.6,"CHANNEL, ISLANDS, REG.,",CALIFORNIA
11/21/2023 7:35,38.189,38.707,7,1.2,EASTERN,TURKEY
11/21/2023 7:32,33.35,73.25,10,3.8,PAKISTAN,PAKISTAN
11/21/2023 7:31,38.044,36.535,7,1.4,CENTRAL,TURKEY
11/21/2023 7:16,38.98,21.41,110,2.5,GREECE,GREECE
11/21/2023 7:16,37.456,36.842,7,1.3,CENTRAL,TURKEY
11/21/2023 7:12,-0.54,135.772,10,5.3,"BIAK, REGION,",INDONESIA
11/21/2023 7:10,-9.546,148.601,10,5.5,"EASTERN, NEW, GUINEA, REG.,",P.N.G.
11/21/2023 7:05,19.14,-103.74,17,3.2,"COLIMA,",MEXICO
11/21/2023 7:04,12.62,-88.2,31,2.9,"OFFSHORE, EL",SALVADOR
11/21/2023 7:03,37.415,37.123,14,1.5,CENTRAL,TURKEY
11/21/2023 6:55,37.411,37.168,15,1.1,CENTRAL,TURKEY
11/21/2023 6:53,15.46,-95.25,7,3.7,"OFFSHORE, OAXACA,",MEXICO
11/21/2023 6:43,15.67,-95.43,16,3.7,"OFFSHORE, OAXACA,",MEXICO
11/21/2023 6:34,62.125,-160.302,10,3,CENTRAL,ALASKA
11/21/2023 6:30,18.47,-104.05,16,3.3,"OFFSHORE, COLIMA,",MEXICO
11/21/2023 6:15,-35.071,179.336,203,3.4,"OFF, E., COAST, OF, N., ISLAND,",N.Z.
11/21/2023 6:08,38.21,38.771,6,1.5,EASTERN,TURKEY
11/21/2023 5:53,37.209,29.338,7,1.2,WESTERN,TURKEY
11/21/2023 5:52,44.54,6.83,5,3.5,FRANCE,FRANCE
11/21/2023 5:50,37.71,21.29,20,2.6,SOUTHERN,GREECE
11/21/2023 5:44,-2.64,140.38,10,2.8,"NEAR, N, COAST, OF, PAPUA,",INDONESIA
11/21/2023 5:33,37.964,37.715,8,1.8,CENTRAL,TURKEY
11/21/2023 5:14,63.88,-22.39,1,3.8,ICELAND,REGION
11/21/2023 5:12,18.57,-106.2,22,3.5,"OFF, COAST, OF, JALISCO,",MEXICO
11/21/2023 5:10,1.004,-29.019,20,5.5,"CENTRAL, MID-ATLANTIC",RIDGE
11/21/2023 5:01,-21.14,-69,109,2.9,"TARAPACA,",CHILE
11/21/2023 4:57,38.01,23.31,43,2.4,GREECE,GREECE
11/21/2023 4:43,37.003,27.664,3,2.9,WESTERN,TURKEY
11/21/2023 4:41,-2.51,140.43,13,3.3,"NEAR, N, COAST, OF, PAPUA,",INDONESIA
11/21/2023 4:33,-5.26,122.61,10,2.5,"SULAWESI,",INDONESIA
11/21/2023 4:29,2.05,121.29,48,3.6,CELEBES,SEA
11/21/2023 4:24,31.671,-104.43,7,2,WESTERN,TEXAS
11/21/2023 4:11,-3.06,101.29,24,3.3,"SOUTHERN, SUMATRA,",INDONESIA
11/21/2023 4:05,37.938,38.052,7,1.5,EASTERN,TURKEY
11/21/2023 3:48,2.36,97.09,20,3.1,"NORTHERN, SUMATRA,",INDONESIA
11/21/2023 3:45,28.924,-98.112,0,2,SOUTHERN,TEXAS
11/21/2023 3:42,35.983,24.956,22,3,"CRETE,",GREECE
11/21/2023 3:28,16.03,-99,12,4.3,"OFFSHORE, GUERRERO,",MEXICO
11/21/2023 3:27,-20.86,-69.11,107,2.8,"TARAPACA,",CHILE
11/21/2023 3:17,38.989,-28.958,34,2.1,"AZORES, ISLANDS,",PORTUGAL
11/21/2023 3:12,1.21,120.72,16,2.9,"MINAHASA,, SULAWESI,",INDONESIA
11/21/2023 3:04,37.048,16.491,4,2.6,IONIAN,SEA
11/21/2023 2:53,12.62,-88.3,28,3.2,"OFFSHORE, EL",SALVADOR
11/21/2023 2:47,45.771,26.803,101,3.1,ROMANIA,ROMANIA
11/21/2023 2:30,-5.36,130.23,74,3.7,BANDA,SEA
11/21/2023 2:22,-30.09,-71.53,34,2.6,"OFFSHORE, COQUIMBO,",CHILE
11/21/2023 1:59,19.299,-155.383,2,2.1,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 1:55,-32.21,-69.77,111,3,"SAN, JUAN,",ARGENTINA
11/21/2023 1:55,9.2,125.87,8,3,"MINDANAO,",PHILIPPINES
11/21/2023 1:51,-28.77,-70.38,107,3.4,"ATACAMA,",CHILE
11/21/2023 1:47,32.801,-100.662,8,2.2,WESTERN,TEXAS
11/21/2023 1:39,38.13,37.726,5,2.6,CENTRAL,TURKEY
11/21/2023 1:34,31.677,-104.399,6,2.1,WESTERN,TEXAS
11/21/2023 1:29,32.801,-100.662,6,2,WESTERN,TEXAS
11/21/2023 1:12,35.12,-3.836,7,2,"STRAIT, OF",GIBRALTAR
11/21/2023 1:01,31.687,-104.395,6,3,WESTERN,TEXAS
11/21/2023 1:01,0.92,122.89,21,2.6,"MINAHASA,, SULAWESI,",INDONESIA
11/21/2023 0:57,-31.71,-72.13,30,3.8,"OFFSHORE, COQUIMBO,",CHILE
11/21/2023 0:57,38.037,37.392,7,1.6,CENTRAL,TURKEY
11/21/2023 0:42,38.702,30.66,9,1.6,WESTERN,TURKEY
11/21/2023 0:37,34.98,24.73,15,2.1,"CRETE,",GREECE
11/21/2023 0:36,-31.524,-68.549,109,3,"SAN, JUAN,",ARGENTINA
11/21/2023 0:22,61.272,-150.311,40,3.1,SOUTHERN,ALASKA
11/21/2023 0:13,39.837,28.772,7,1.3,WESTERN,TURKEY
11/21/2023 0:10,8.761,-83.487,19,3,COSTA,RICA
11/21/2023 0:07,10.59,125.39,116,3,"LEYTE,",PHILIPPINES
11/20/2023 23:59,-31.73,-71.92,43,3.5,"OFFSHORE, COQUIMBO,",CHILE
11/20/2023 23:43,19.977,-70.28,31,3.5,"DOMINICAN, REPUBLIC",REGION
11/20/2023 23:41,38.425,37.44,7,1.7,CENTRAL,TURKEY
11/20/2023 23:41,-20.43,-69.77,47,2.7,"TARAPACA,",CHILE
11/20/2023 23:40,39.139,-28.624,6,2.8,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 23:35,12.59,-88.01,30,3.5,"NEAR, COAST, OF",NICARAGUA
11/20/2023 23:23,-2.83,126.32,10,4.2,"CERAM, SEA,",INDONESIA
11/20/2023 23:13,19.292,-155.381,4,2.8,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 23:13,-40.516,174.505,33,3.6,"COOK, STRAIT,, NEW",ZEALAND
11/20/2023 23:11,35.785,-114.77,16,2.3,NEVADA,NEVADA
11/20/2023 23:06,-20.73,-68.84,100,2.8,"TARAPACA,",CHILE
11/20/2023 23:04,38.037,36.511,7,1.4,CENTRAL,TURKEY
11/20/2023 22:56,36.951,27.819,7,1.2,"DODECANESE, IS.-TURKEY, BORDER",REG
11/20/2023 22:52,46.1,7.39,7,0.9,SWITZERLAND,SWITZERLAND
11/20/2023 22:39,43.36,13.026,7,2,CENTRAL,ITALY
11/20/2023 22:29,18.54,-106.08,10,3.8,"OFF, COAST, OF, JALISCO,",MEXICO
11/20/2023 22:25,19.201,-155.48,35,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 22:24,11.81,-86.38,154,2.9,"NEAR, COAST, OF",NICARAGUA
11/20/2023 22:22,59.025,-137.891,5,3.3,"BRITISH, COLUMBIA,",CANADA
11/20/2023 22:20,5.85,125.517,220,4.4,"MINDANAO,",PHILIPPINES
11/20/2023 22:12,17.18,-100.39,42,3.5,"GUERRERO,",MEXICO
11/20/2023 22:10,46.101,7.391,7,1.1,SWITZERLAND,SWITZERLAND
11/20/2023 22:09,28.565,78.214,5,2.8,"UTTAR, PRADESH,",INDIA
11/20/2023 21:46,37.519,37.061,9,1.2,CENTRAL,TURKEY
11/20/2023 21:44,50.354,7.369,6,0.3,GERMANY,GERMANY
11/20/2023 21:41,16.4,-95.29,30,3.6,"OAXACA,",MEXICO
11/20/2023 21:27,59.012,-137.911,4,3.9,"BRITISH, COLUMBIA,",CANADA
11/20/2023 21:26,37.687,142.175,50,4.4,"OFF, EAST, COAST, OF, HONSHU,",JAPAN
11/20/2023 21:19,37.666,35.367,7,1.6,CENTRAL,TURKEY
11/20/2023 21:14,29.395,61.084,8,4.6,"IRAN-PAKISTAN, BORDER",REGION
11/20/2023 21:09,16.7,-98.59,15,3.3,"GUERRERO,",MEXICO
11/20/2023 21:07,-0.79,136.1,10,3.3,"BIAK, REGION,",INDONESIA
11/20/2023 21:06,19.334,-155.108,4,2.6,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 21:03,-30.778,-71.414,46,4.9,"COQUIMBO,",CHILE
11/20/2023 21:01,38.665,43.23,12,3.4,EASTERN,TURKEY
11/20/2023 20:58,44.306,9.769,7,2.1,NORTHERN,ITALY
11/20/2023 20:50,37.958,27.111,7,1.6,WESTERN,TURKEY
11/20/2023 20:43,45.5,16.18,3,1.2,CROATIA,CROATIA
11/20/2023 20:42,19.369,-155.292,2,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 20:41,15.96,-95.2,15,4,"OFFSHORE, OAXACA,",MEXICO
11/20/2023 20:39,36.043,30.44,28,2.7,WESTERN,TURKEY
11/20/2023 20:28,17.36,-101.06,41,3.2,"GUERRERO,",MEXICO
11/20/2023 20:27,43.018,13.01,14,2.4,CENTRAL,ITALY
11/20/2023 20:20,38.339,27.186,7,1.4,WESTERN,TURKEY
11/20/2023 20:20,-31.82,-70.32,123,3.2,"SAN, JUAN,",ARGENTINA
11/20/2023 20:06,59.05,-145.068,10,3.1,"GULF, OF",ALASKA
11/20/2023 20:01,9.188,94.047,23,4.3,"NICOBAR, ISLANDS,, INDIA",REGION
11/20/2023 19:46,18.66,-103.77,25,3.6,"OFFSHORE, MICHOACAN,",MEXICO
11/20/2023 19:45,19.343,-155.115,12,3.4,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 19:42,19.31,-104.06,10,3.5,"COLIMA,",MEXICO
11/20/2023 19:36,40.226,-124.169,13,2.4,NORTHERN,CALIFORNIA
11/20/2023 19:35,0.35,122.39,113,3.2,"MINAHASA,, SULAWESI,",INDONESIA
11/20/2023 19:33,13.67,-93.11,10,4.2,"OFF, COAST, OF, CHIAPAS,",MEXICO
11/20/2023 19:28,5.7,125.227,62,5.2,"MINDANAO,",PHILIPPINES
11/20/2023 19:05,19.96,-104.4,57,3.4,"JALISCO,",MEXICO
11/20/2023 19:04,36.53,21.74,10,2.5,SOUTHERN,GREECE
11/20/2023 18:58,8.629,-77.892,14,3,"PANAMA-COLOMBIA, BORDER",REGION
11/20/2023 18:43,47.368,6.918,5,1,SWITZERLAND,SWITZERLAND
11/20/2023 18:43,38.094,36.57,7,1.4,CENTRAL,TURKEY
11/20/2023 18:37,37.273,36.981,7,1.4,CENTRAL,TURKEY
11/20/2023 18:35,17.36,-100.93,34,3.6,"GUERRERO,",MEXICO
11/20/2023 18:33,35.32,62.52,10,4.6,TURKMENISTAN,TURKMENISTAN
11/20/2023 18:30,-31.692,-72.133,12,4.8,"OFFSHORE, COQUIMBO,",CHILE
11/20/2023 18:16,-32.227,-70.157,114,4.7,"SAN, JUAN,",ARGENTINA
11/20/2023 18:14,37.652,29.623,10,1.3,WESTERN,TURKEY
11/20/2023 18:13,38.332,37.368,7,1.6,CENTRAL,TURKEY
11/20/2023 18:04,-27.62,-69.14,112,2.7,"ATACAMA,",CHILE
11/20/2023 18:04,19.29,-155.383,42,2.4,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 17:16,23.831,120.835,30,4.6,TAIWAN,TAIWAN
11/20/2023 16:49,38.345,27.236,7,1.3,WESTERN,TURKEY
11/20/2023 16:44,17.13,-94.78,133,3.8,"OAXACA,",MEXICO
11/20/2023 16:32,45.865,6.988,7,0.7,FRANCE,FRANCE
11/20/2023 16:31,45.864,6.99,7,1.1,FRANCE,FRANCE
11/20/2023 16:31,4.39,96.44,84,2.6,"NORTHERN, SUMATRA,",INDONESIA
11/20/2023 16:04,23.07,-100.24,9,4,"SAN, LUIS, POTOSI,",MEXICO
11/20/2023 15:57,38.002,37.688,8,2,CENTRAL,TURKEY
11/20/2023 15:56,19.372,-155.285,2,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 15:53,15.15,-94.27,16,3.8,"OFF, COAST, OF, CHIAPAS,",MEXICO
11/20/2023 15:37,27.749,56.678,10,4.7,SOUTHERN,IRAN
11/20/2023 15:30,38.291,37.151,7,1.9,CENTRAL,TURKEY
11/20/2023 15:28,19.33,-155.307,2,2,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 15:28,-6.468,149.868,21,4.5,"NEW, BRITAIN, REGION,",P.N.G.
11/20/2023 15:26,-30.44,-71.52,36,2.7,"COQUIMBO,",CHILE
11/20/2023 15:08,33.34,76.69,5,3.1,"KASHMIR-INDIA, BORDER",REGION
11/20/2023 15:06,35.458,-3.76,3,2.1,"STRAIT, OF",GIBRALTAR
11/20/2023 14:59,33.808,-118.761,1,2.1,"CHANNEL, ISLANDS, REG.,",CALIFORNIA
11/20/2023 14:43,38.122,37.846,5,2.2,CENTRAL,TURKEY
11/20/2023 14:43,28.142,-15.784,14,2,"CANARY, ISLANDS,, SPAIN",REGION
11/20/2023 14:41,17.57,119.86,21,4.2,"PHILIPPINE, ISLANDS",REGION
11/20/2023 14:41,39.132,-28.631,3,2.4,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 14:38,-0.16,123.05,29,3.4,"SULAWESI,",INDONESIA
11/20/2023 14:19,38.206,38.039,7,1.6,EASTERN,TURKEY
11/20/2023 14:19,-6.97,106.03,45,2.9,"JAVA,",INDONESIA
11/20/2023 14:10,39.12,-28.61,5,2,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 14:09,-24.07,-67.01,202,3.2,"SALTA,",ARGENTINA
11/20/2023 14:04,-6.231,129.525,10,4.6,BANDA,SEA
11/20/2023 14:01,34.91,26.351,10,3,"CRETE,",GREECE
11/20/2023 14:01,-6.36,130.8,143,4,BANDA,SEA
11/20/2023 13:53,2.53,126.9,10,3.3,MOLUCCA,SEA
11/20/2023 13:51,38.197,38.059,7,2,EASTERN,TURKEY
11/20/2023 13:51,15.93,-94.96,16,4,"OFFSHORE, OAXACA,",MEXICO
11/20/2023 13:51,-24.171,-64.329,15,3.1,"JUJUY,",ARGENTINA
11/20/2023 13:49,38.206,38.066,7,2,EASTERN,TURKEY
11/20/2023 13:33,-31.5,-68.84,91,3,"SAN, JUAN,",ARGENTINA
11/20/2023 13:32,-9.59,118.44,28,3.1,"SUMBAWA, REGION,",INDONESIA
11/20/2023 13:30,31.754,-103.84,4,2,WESTERN,TEXAS
11/20/2023 12:58,36.737,-7.272,5,2.2,"STRAIT, OF",GIBRALTAR
11/20/2023 12:56,31.638,-104.018,6,2,WESTERN,TEXAS
11/20/2023 12:52,38.02,37.291,7,1.6,CENTRAL,TURKEY
11/20/2023 12:50,18.448,-62.358,20,4.9,"ANGUILLA, REGION,, LEEWARD",ISLANDS
11/20/2023 12:47,-4.8,129.83,214,3.8,BANDA,SEA
11/20/2023 12:46,36.67,26.717,148,2.8,"DODECANESE, ISLANDS,",GREECE
11/20/2023 12:38,38.224,38.818,5,2.1,EASTERN,TURKEY
11/20/2023 12:32,39.095,-28.579,1,2.6,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 12:09,38.994,39.891,5,2.6,EASTERN,TURKEY
11/20/2023 12:01,38.118,36.586,7,2.4,CENTRAL,TURKEY
11/20/2023 12:00,19.304,-155.428,11,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/20/2023 11:40,48.381,-2.584,0,2.1,FRANCE,FRANCE
11/20/2023 11:39,44.357,-115.163,10,2.5,SOUTHERN,IDAHO
11/20/2023 11:35,38.047,37.655,8,2.2,CENTRAL,TURKEY
11/20/2023 11:35,47.525,-2.285,5,2.2,FRANCE,FRANCE
11/20/2023 11:28,38.26,38.744,8,1.4,EASTERN,TURKEY
11/20/2023 11:25,37.36,-3.662,11,1.7,SPAIN,SPAIN
11/20/2023 11:16,-22.2,-68.78,110,3.3,"ANTOFAGASTA,",CHILE
11/20/2023 11:14,45.728,1.281,5,2,FRANCE,FRANCE
11/20/2023 11:10,46.181,11.229,12,1.1,NORTHERN,ITALY
11/20/2023 11:05,48.181,-0.746,0,2,FRANCE,FRANCE
11/20/2023 10:55,47.745,6.959,5,2,FRANCE,FRANCE
11/20/2023 10:52,44.782,-110.906,8,2.2,"YELLOWSTONE, NAT., PARK,",WYOMING
11/20/2023 10:49,16.45,-95.41,48,3.7,"OAXACA,",MEXICO
11/20/2023 10:49,-37.598,176.515,204,3.6,"NORTH, ISLAND, OF, NEW",ZEALAND
11/20/2023 10:48,38.215,38.776,4,1.8,EASTERN,TURKEY
11/20/2023 10:37,-24.2,-67.02,213,4.5,"SALTA,",ARGENTINA
11/20/2023 10:33,38.048,36.632,5,2.5,CENTRAL,TURKEY
11/20/2023 10:32,46.044,2.933,0,2,FRANCE,FRANCE
11/20/2023 10:25,44.354,2.552,5,2.1,FRANCE,FRANCE
11/20/2023 10:23,39.135,-28.631,5,2.6,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 10:22,39.163,-28.639,8,2.6,"AZORES, ISLANDS,",PORTUGAL
11/20/2023 10:21,-38.12,-74.92,5,2.8,"OFF, COAST, OF, ARAUCANIA,",CHILE
11/20/2023 10:19,15.67,-95.03,16,3.7,"OFFSHORE, OAXACA,",MEXICO
11/20/2023 10:18,18.57,-102.86,67,3.4,"MICHOACAN,",MEXICO
11/20/2023 10:17,39.156,29.005,7,2.2,WESTERN,TURKEY
